,Job_Role,Company,Location,Job Experience,Skills,Job_Description
3226,Data Engineer Pune,Talentleads,Pune,0-5,"Data analysis, Analytical, Sales analytics, Stored procedures, data visualization, Data mining, Analytics, SQL",Understand and analyse data in business context and build data pipeline for supporting ...
3227,Data Engineer,Spinny,Gurgaon/Gurugram,0-3,"Computer science, Data analysis, RDBMS, Database design, Machine learning, Data quality, Predictive modeling, Data mining",a Masters is a plusData engineering certification (e. g IBM Certified Data Engineer) is...
3228,Data Engineer,P S International HR Consultants,Mumbai,0-4,"github, Sales, Data modeling, Analytical, Data quality, microsoft, SQL, Python",Skill Required: . . . . . . . Solid understanding of SQL Server. . . . . . . . Python. ...
3229,Data Engineer,Equity Data Science,Mumbai,0-2,"Data analysis, GIT, PDF, SQL database, Database design, Analytical, Data quality, Risk management",. Will act as a business problem solver by build large-scale batch and data pipelines b...
3230,Data Engineer,Hanu Consultancy Services,"Noida, Greater Noida",0-4,"SQL queries, data services, GIT, Coding, Social media, Agile development, power bi, Analytics",You will work with other Data Engineers and Tech leads throughout the data pipeline dev...
3231,Data Engineer,Ketto,Mumbai,0-4,"NoSQL, Analytical, SCALA, data governance, Data structures, Data quality, Distribution system, Analytics","Hands-on experience with AWS services including S3, EMR, Glue, Athena, Redshift and RDS..."
3232,Data Engineer,Community Brands Software Development Solutions,Pune,0-3,"Data analysis, Data modeling, Schema, Agile, Data processing, Data quality, Business intelligence, Apache","As a Data Engineer, you will collaborate with engineers and product managers to drive f..."
3233,Fresher - Data Engineer,Busigence Technologies,Remote,0-2,"French, Data management, Machine learning, Data structures, HTML, HTTP, Natural language processing, Business intelligence",Product development . . . . experience preferably at . . a startup or a lean team . . i...
3234,Junior Software Engineer - Data Science,LogiNext,Mumbai,0-1,"Cloud computing, Data management, Data modeling, Machine learning, Business intelligence, Data mining, Information technology, SQL","Bachelors degree or higher in Computer Science, Information Technology, Information Sys..."
3235,Data Engineer,Immo Investment Technologies,Chennai,0-3,"agile project management, Master data management, Consulting, Infrastructure, Data processing, Data quality, Customer service, Analytics",Empower people across the business with easy access to relevant data. Maintain and impr...
3236,Data Engineer,Hanu Software Solutions Pvt Ltd,Greater Noida,0-5,"Oracle database, SQL queries, data services, SAP, GIT, Coding, Agile development, Analytics","Attention to detail GraduationProven experience as a Data Engineer, ETL Developer, or s..."
3237,Data Engineer - Fresher,Factana,Chennai,0-1,"Data migration, PDF, SQL database, Consulting, Schema, Data processing, HTML, professional services","Role Responsibilities: Develop complex SQL database structure, schema and models to ach..."
