,Job_Role,Company,Location,Job Experience,Skills,Job_Description
102,SAP BW on HANA Data Modeling & Development Application Developer,Accenture,Hyderabad/Secunderabad,4-6,"SAP, SAP ABAP, SAP BW, Hana, BW Accelerator, Native HANA modelling, Calculation Views, Abap",Educational Qualification : any graduation or 15 years fulltime education . Job Require...
103,SAP BusinessObjects Data Services Application Developer,Accenture,Hyderabad/Secunderabad,4-6,"Data migration, data services, SAP SD, Data management, ABAP, O2C, LSMW, BODS",Educational Qualification : Minimum 15 years full time education . Work Experience :4-6...
104,SAP BusinessObjects Data Services Application Developer,Accenture,Hyderabad/Secunderabad,6-8,"Automation, Data migration, SAP, Consulting, PLSQL, Business process, data services, Reconciliation",Educational Qualification : A Regular 15-year full time education. Technical Experience...
105,Spark/hadoop Developer - Hive,Career Infosystem,Hyderabad/Secunderabad,5-8,"Unix, Hive, Linux, Shell Scripting, Big Data, Data Warehouse, Spark, Data Warehousing","Spark SQL or Hive Developer/San Jose, CA 5 month+ contract Required skills (maximum of ..."
106,BIG DATA& JAVA DEVELOPER,Star4rall It Solutions,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru",8-10,"Performance tuning, Maven, Hibernate, Automation, RDBMS, Coding, Java J2Ee Developer, Agile",Must be hands on and work individually . Competencies . Hands-on Experience . At least ...
107,Big Data Engineer (Spark & Scala),Mphasis,"Hybrid - Hyderabad/ Secunderabad, Telangana",5-8,"SCALA, Big Data, Spark, hive, restful, java, Hadoop, Restful Web Api Development",Who are we looking for?Looking for Big data EngineerTechnical Skills:• 5+ years of expe...
108,Sr. Applications Developer,TELUS International,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru",4-7,"Unix, Performance tuning, Linux, Postgresql, Agile, Customer service, Troubleshooting, Middleware",. TELUS International is looking to hire an Expert in PostgreSQL with experience of 4-7...
109,Electronic Data Interchange (EDI) Application Developer,Accenture,Hyderabad/Secunderabad,6-8,"Electronic Data Interchange, edi seeburger, application development, communication skills, Electronics, Data, EDI, Application",Work Experience :6-8 years Technical Experience : a: Overall experience of at least 7 y...
110,Snowflake Data Warehouse Application Developer,Accenture,Hyderabad/Secunderabad,4-6,"Snowflake, Data Warehouse, project management, PL/SQL, data modeling, design development, project leading, RDBMS",Professional Attributes : Must have good communication skills Educational Qualification...
111,Snowflake Data Warehouse Application Developer,Accenture,Hyderabad/Secunderabad,6-8,"Cloud computing, Data management, RDBMS, PLSQL, Stored procedures, Data modeling, SNOWFLAKE Datawarehouse Design, Cloud Datawarehouse",Educational Qualification : Full time of 15 years of Education . Professional Attribute...
112,Snowflake Data Warehouse Application Developer,Accenture,Hyderabad/Secunderabad,4-6,"Cloud computing, Stored procedures, Data management, RDBMS, PLSQL, Technical documentation, Data architecture, SQL",Professional Attributes : Must have good communication skills Educational Qualification...
113,Snowflake Data Warehouse Application Developer,Accenture,Hyderabad/Secunderabad,8-10,"Analytical skills, Time management, Data warehousing, SQL, Data Modelling Design, Snowflake, Impact analysis, Analytical",Job Requirements : Key Responsibilities : 1Experience in Snowflake and good understandi...
114,Snowflake Data Warehouse Application Developer,Accenture,Hyderabad/Secunderabad,4-6,"Data management, RDBMS, PLSQL, Snowflake Data Warehouse, Cloud Computing, Data modeling, Cloud Datawarehouse, Data architecture",Professional Attributes : Must have good communication skills Educational Qualification...
115,Snowflake Data Warehouse Application Developer,Accenture,Hyderabad/Secunderabad,4-6,"Data management, RDBMS, Snowflake, PLSQL, Data modeling, SnowSQL, SnowPipe, Cloud Datawarehouse",Professional Attributes : Must have good communication skills Educational Qualification...
116,Snowflake Data Warehouse Application Developer,Accenture,Hyderabad/Secunderabad,6-8,"Data management, RDBMS, PLSQL, PL/SQL, Cloud Computing, Data modeling, SnowSQL, Snowflake",Professional Attributes : Must have good communication skills Educational Qualification...
