,Job_Role,Company,Location,Job Experience,Skills,Job_Description
824,Lead Engineer 1 - Azure Data Engineering,Pepsi Foods,Hyderabad/Secunderabad,5-7,"Computer science, Enterprise architecture, MIS, Agile, FMCG, Continuous improvement, Teradata, Information technology","Bachelor s degree in Computer Science, MIS, Business Management, or related field . 5+ ..."
825,Data Engineer,Hanu Consultancy Services,"Noida, Greater Noida",0-4,"SQL queries, data services, GIT, Coding, Social media, Agile development, power bi, Analytics",You will work with other Data Engineers and Tech leads throughout the data pipeline dev...
826,Data Engineer,Ketto,Mumbai,0-4,"NoSQL, Analytical, SCALA, data governance, Data structures, Data quality, Distribution system, Analytics","Hands-on experience with AWS services including S3, EMR, Glue, Athena, Redshift and RDS..."
827,Data Engineer,Community Brands Software Development Solutions,Pune,0-3,"Data analysis, Data modeling, Schema, Agile, Data processing, Data quality, Business intelligence, Apache","As a Data Engineer, you will collaborate with engineers and product managers to drive f..."
828,Fresher - Data Engineer,Busigence Technologies,Remote,0-2,"French, Data management, Machine learning, Data structures, HTML, HTTP, Natural language processing, Business intelligence",Product development . . . . experience preferably at . . a startup or a lean team . . i...
829,Data Engineer,Spinny,Gurgaon/Gurugram,0-3,"Computer science, Data analysis, RDBMS, Database design, Machine learning, Data quality, Predictive modeling, Data mining",a Masters is a plusData engineering certification (e. g IBM Certified Data Engineer) is...
830,Data Engineer,Immo Investment Technologies,Chennai,0-3,"agile project management, Master data management, Consulting, Infrastructure, Data processing, Data quality, Customer service, Analytics",Empower people across the business with easy access to relevant data. Maintain and impr...
831,Data Engineer,P S International HR Consultants,Mumbai,0-4,"github, Sales, Data modeling, Analytical, Data quality, microsoft, SQL, Python",Skill Required: . . . . . . . Solid understanding of SQL Server. . . . . . . . Python. ...
832,Data Engineer,Hanu Software Solutions Pvt Ltd,Greater Noida,0-5,"Oracle database, SQL queries, data services, SAP, GIT, Coding, Agile development, Analytics","Attention to detail GraduationProven experience as a Data Engineer, ETL Developer, or s..."
833,Data Engineer,Equity Data Science,Mumbai,0-2,"Data analysis, GIT, PDF, SQL database, Database design, Analytical, Data quality, Risk management",. Will act as a business problem solver by build large-scale batch and data pipelines b...
834,Data Engineer,Hanu Software Solutions Pvt Ltd,Greater Noida,0-4,"SQL queries, data services, GIT, Coding, Social media, Agile development, power bi, Analytics","Attention to detail Graduation Proven experience as a Data Engineer, ETL Developer, or ..."
835,Data Engineer,Hanu Software Solutions Pvt Ltd,"Noida, Greater Noida",0-4,"SQL queries, data services, GIT, Coding, Social media, Agile development, power bi, Analytics",You should be a team player with a keen eye for detail and problem-solving skills in th...
836,Senior Data Engineer,Epiq Systems,"Hybrid - Hyderabad/ Secunderabad, Telangana",5-8,"Data Pipeline, analytical, Data Processing, data engineering, data wrangling, Machine Learning, Processing, Data",Requirements: . Bachelors / masters degree in information or computer science required ...
837,Senior Data Engineer,Epiq Systems,Hyderabad/Secunderabad,5-8,"data engineering, Machine Learning, Data Integration, Data wrangling, ETL, ML frameworks TensorFlow, Metadata Management, Google Cloud",Job Title: Senior Data Engineer Division: Legal Solutions Location: HyderabadReports To...
838,Senior Data Engineer,Epiq Systems,Hyderabad/Secunderabad,5-8,"Data engineering, Java, Metadata Management, scikit-learn, Google Cloud, Data Integration/ETL, Data Quality, PyTorch",Requirements / Skills : . Bachelors / master s degree in information or computer scienc...
839,Senior Data Engineer,Techolution,Remote,3-5,"Airflow, Kafka, AWS, Python, SQL, Rabbitmq, hive, Pyspark","Data Processing Engine - Hive, Red shift and Spark DW replica on Red Shift Should be an..."
840,Senior Data Engineer,Motivity Labs (p) Ltd. (globaloutlook ),Hyderabad/Secunderabad,7-12,"metadata, Publishing, Enterprise architecture, MySQL, Machine learning, Perl, Data mining, Analytics",The candidate must have a demonstrated experience in building and maintaining reliable ...
841,Sr . Data Engineer,SPM Jobs,Hyderabad/Secunderabad,5-10,"NoSQL, PDF, Linux, Coding, Application programming, MySQL, Agile, Software services","Excellent organizational skills, including attention to precise details Strong multitas..."
842,Sr Data Engineer,Katam Technology Solutions Pvt Ltd,Hyderabad/Secunderabad,6-10,"Data Engineering, Snowflake, APIs, Data analytics, Spark, AWS, Elastic Search, Python","Proficiency in Snowflake, Python, Spark, and experience in building and maintaining dat..."
843,Senior Data Engineer,"Epiq Systems, Inc.","Hyderabad/Secunderabad, Pune",5-10,"metadata, Analytical, Machine learning, microsoft azure, Data quality, Monitoring, Python, Data Engineering","We are seeking a highly skilled Data Engineer with good knowledge of ML for designing, ..."
844,Senior Data Engineer,Epiq Systems,Hyderabad/Secunderabad,5-10,"python, Cloud Technologies, Data Engineering, ETL, data integration, Machine Learning, Machine, Data","We are seeking a highly skilled Data Engineer with good knowledge of ML for designing, ..."
845,"Senior Data Engineer, Data Engineering",Atlassian,Bangalore/Bengaluru,6-11,"GIT, data security, Machine learning, Customer support, Scheduling, Data quality, Open source, SQL",The Data Engineering team is responsible for building and managing data pipelines and d...
846,Sr Data Engineering Analyst - Optum,Westlisoft Technologies,Hyderabad/Secunderabad,3-7,"development testing, spark, devops, SCALA, Agile, Design development, Scheduling, big data",". 5-7 years programing experience on Apache Spark on Scala/ Java/ Python, Azure, Big Da..."
847,Senior Data Engineer,Atlassian,Bangalore/Bengaluru,6-7,"Computer science, GIT, data security, Machine learning, Customer support, Scheduling, Data quality, Open source","Experience with modern databases (Redshift, Dynamo DB, Mongo DB, Postgres or similar) a..."
848,Senior Data Engineer,Axiado Corporation,Hyderabad/Secunderabad,10-20,"Cloud computing, Data management, Database design, Information security, MySQL, Data structures, Data mining, Middleware",Develop and maintain architectural roadmap for data products and data services plus ens...
