,Job_Role,Company,Location,Job Experience,Skills,Job_Description
61,STAFF DATA SCIENTIST,Walmart,Bangalore/Bengaluru,9-10,"Procurement, data science, Analytical, Consulting, Machine learning, Agile, Operations, Information technology",". Drive innovation in approach, method, practices, process, outcome, delivery, or any c..."
62,Senior Data Scientist(Associate Director),TRH Consultancy Services,"Noida, Mumbai, Hyderabad/Secunderabad, Pune, Chennai, Coimbatore",10-20,"Data Scientist, Sklearn, Matplotlib, R, tensorflow, Machine learning, Pandas, Numpy","Experience with common data science toolkits such as R, Numpy, Pandas, Sklearn, Matplot..."
63,Data Scientist,Rockwell Automation,"Pune, Bangalore/Bengaluru",3-7,"Analytical skills, Change management, Automation, data science, Relationship building, Test scenarios, Data analytics, Management","The DAI Data Scientist is a multi-skilled engineer who helps to estimate work, accept s..."
64,Sr. Data Scientist,Godswill Management Consultants,"Hyderabad/Secunderabad, Pune, Maharashtra, Bangalore/Bengaluru",4-8,"model building, Statistical modeling, Logistic Regression, Fintech, Xgboost, Data Scientist, Advanced Analytics, Random forest","exp in advanced analytics, model building, statistical modeling , Logistic Regression, ..."
65,Senior Data Scientist,Fractal Analytics,"Mumbai, Bangalore/Bengaluru",5-10,"Supply chain, Project management, Analytical, Demand forecasting, Consulting, Machine learning, Troubleshooting, Analytics","Required Skills: . 5+ years of work experience related to data science, analytics . Pre..."
66,Data Scientist,GSPANN,"Hyderabad/Secunderabad, Pune, Gurgaon/Gurugram",4-9,"Data Science, Machine Learning, Predictive Modeling, Pyspark, Hive, Spark, datascience, Analytics","Role: Data Scientist Experience: 4 to 6 YrsLocation: Hyd, Pune, GurgaonJob Summary:We a..."
67,"Senior Data Scientist, CAT Proc",Mondelez,Mumbai,4-8,"C++, Coding, Javascript, Packaging, Predictive modeling, Data mining, Business solutions, Analytics",Education / Certifications: . Graduate / PG Strong quantitative skillset with experienc...
68,Data Scientist || Immediate Joiners Only,Sun Life,"Bangalore/ Bengaluru, Karnataka",6-10,"NLP, SAS, Tableau, Python, R, Data, Natural language processing",Roles and Responsibilities Looking for Immediate Joiners OnlyCandidate can share resume...
69,Sr. Data Scientist,Caterpillar Inc,Bangalore/Bengaluru,5-7,"Supply chain, Data analysis, Supply chain management, SAS, Simulation, Project management, Analytical, Analytics","Masters degree in engineering, supply chain management, logistics or a related field . ..."
70,Senior Data Scientist,Capco,Bangalore/Bengaluru,7-12,"Relationship management, Data analysis, Business analysis, Machine learning, Agile, Asset management, Analytics, Financial services",Must possess strong relationship management skills and be able to manage requirements a...
71,Data Scientist (Clinical Consultant/Clinical Data Scientist),ICON plc,"Chennai, Bangalore/Bengaluru, Trivandrum/Thiruvananthapuram",5-6,"Claims, Data management, Coding, Analytical, Pharma, Clinical research, Healthcare, Public health",". 5+ years of experience in clinical coding, coding guidelines, protocols and US claims..."
