,Job_Role,Company,Location,Job Experience,Skills,Job_Description
90,Business Analyst,Talent Sketchers,"Navi Mumbai, Maharashtra",1-4,"Business Analyst, Gap Analysis, Use Cases, Brd, Requirement Gathering, User Stories, documentation, FRD",Create and maintain comprehensive project documentation Should have technical backgroun...
91,Business Analyst-HCS,Experis,"Hybrid - Pune, Maharashtra",6-8,"Business Analytics, VBA MICROS, Data Analysis, Data Collection, MIS Reporting, VBA, Analytical Skills, Reporting",Shift: UK Working hours but should be flexible as the role is strategically placed. . C...
92,Business Analyst (BA) - Analytics,Phonepe,Bangalore/Bengaluru,2-5,"Analytical skills, Data analysis, Medical insurance, QlikView, Analytics, Financial services, Travel insurance, SQL","Experience in building ML models is good-to-have, but not mandatory"
93,Business Analyst,Broadridge,"Hybrid - Bangalore/ Bengaluru, Karnataka",2-5,"Documentation, Corporate Actions, Business analysis, Corporate",Shift Timings: Role & responsibilities . We handle millions of trades a day involving t...
94,LoanIQ - Business Analyst,Infosys,Bangalore/Bengaluru,5-7,"LoanIQ, Commercial Lending, Lending, business analysis, servicing, Commercial, Analysis",Responsibilitiesyou will be a key player in the consulting team that helps discover and...
95,Manager Business Analyst | Info Edge,Info Edge,Hybrid - Delhi / NCR,5-10,"sql, excel, tableau, python, business analysis, Edge, Analysis, Management",Requirement Gathering and Stakeholder Management: Cross Function engagement at Leadersh...
96,Business Analyst,MattsenKumar (MK),Remote,4-9,"Power Bi, Advanced Excel, SQL, Business analysis, Excel, Bi",A minimum of 3 years of experience in a business analyst or data analyst role. Experien...
97,Business Analyst,Y Axis,Hyderabad/Secunderabad,0-4,"Business Analyst, business analysis","Evaluating business processes, anticipating requirements, uncovering areas for improvem..."
98,Business Analyst and Consultant,Vrit Techno Soft,"Hybrid - Kochi/ Cochin, Kerala, Hyderabad/ Secunderabad, Telangana, Chennai, Bangalore/Bengaluru, Trivandrum/ Thiruvananthapuram, Kerala",7-12,"intigration, Data Migration, Data, Consulting, Migration, Business analysis","Exp:7+yrs, Budget:18L, Role:Business Analyst Location:Pan India Previous demonstrable e..."
99,Business Analyst,Concoct Human Resource Practioners India,Bangalore/Bengaluru,6-8,"Scrum Agile Development Methodology, Project Management, Requirement Gathering, Agile Framework, Presentation Skills, Customer Relationship, Software Development, Business Analytics","Business Analysts will be responsible for gathering business requirements, documentatio..."
100,Business Analyst,Air India,"Gurgaon/ Gurugram, Haryana",0-5,"Excel, Business Analytics, Data Analysis, Data Mapping, advanced excel, Tableau, analysis, Powerpoint",. Who Can Apply. Education: Minimum Graduate with specialization in Analytics Provide a...
101,Business Analyst,Ezytm Technologies,Jaipur,0-4,"Cold calling, IT services, Business Analyst, Time management, Business analytics, Consulting, management, time managements",Should be able to understand the clients requirements Must have knowledge about IT serv...
102,Business Analyst,Om Consulting,"Bangalore/ Bengaluru, Karnataka",2-7,"Business Analytics, PMP Trained, Business Analysis, Data Modeling, Advanced SQL, Business Intelligence, Bi Tools, Tableau","Looking for candidate who will be able to analyze data, plan business, gather requireme..."
103,Business Analyst,Discovery Communications,"Bangalore/Bengaluru, Karnataka",2-5,"Business Analysis, production support, sql queries, application support, user acceptance testing, test scripts, sdlc, SQL","Perform administrative duties as required including completing timesheets, submitting e..."
104,Business Analyst,Gameskraft Technologies,Bangalore/Bengaluru,1-3,"Root cause analysis, Data analysis, Operations research, ISO 27001, data visualization, Medical insurance, Gaming, Product marketing","Bachelors degree in Engineering, Operations Research, Maths, or related experience in t..."
105,Business Analyst,Kaseya,Bangalore/Bengaluru,5-10,"Data analysis, Sales, Security management, Advanced Excel, Analytics, Private equity, Recruitment, SQL",Lead and provide support to build and implement various programs and initiatives passio...
106,Business Analyst,Maxdata Solution,Bangalore/Bengaluru,1-3,"Business Analysis, SAP, Power BI, User Stories, JIRA, SDLC, Analytics, SQL","Required Qualifications: Bachelor s degree in business administration, IT, Statistics, ..."
107,Business Analyst,QA InfoTech Pvt. Ltd,Bangalore/Bengaluru,3-5,"Product management, Training, Career development, Business Analyst, Compliance, Functional testing, HIPAA, Project planning","Minimize requirement defects up front, establish and maintain agreement between the cus..."
108,Business Analyst,Saama Technologies,Chennai,2-5,"QA, Basic, Business Analyst, Architecture, Web development, Clinical trials, Agile, JIRA",. Clinical Trials experience Preferred . Working experience with cross functional teams...
109,Business Analyst,Nomura Research Institute India Pvt Ltd ( NRI India ),Gurgaon/Gurugram,2-5,"Literature, Business Analyst, Consulting, Database, M&A, Management, Research analysis, Japanese",from a four-year college or university. -Advanced degrees such as masters degree (MA / ...
